TITLE	GENRE
A Hull of a Mess (1942)	Animation
A Hull of a Mess (1942)	Comedy
A Hull of a Mess (1942)	Family
A Hull of a Mess (1942)	Short
A Hull of a Mess (1942)	War
A Ilha (1990)	Drama
A Ilha (1990)	Mystery
A Ilha (1990)	Short
A Jersey Skeeter (1900)	Comedy
A Jersey Skeeter (1900)	Fantasy
A Jersey Skeeter (1900)	Short
A Killer App (2010) (V)	Horror
A Killer App (2010) (V)	Sci-Fi
A Killer App (2010) (V)	Short
A Killer App (2010) (V)	Thriller
A Lecture on Camouflage (1944)	Animation
A Lecture on Camouflage (1944)	Short
A Life Less Ordinary (1997)	Comedy
A Life Less Ordinary (1997)	Crime
A Life Less Ordinary (1997)	Fantasy
A Life Less Ordinary (1997)	Romance
A Little Bit Zombie (2012)	Comedy
A Little Bit Zombie (2012)	Horror
A Maldição do Marialva (1991)	Drama
A Maldição do Marialva (1991)	Fantasy
A Maldição do Marialva (1991)	Horror
A Maldição do Marialva (1991)	Mystery
A Margherita with Hot Salami (1999)	Short
A Marvada Carne (1987)	Comedy
A Matter of Hair (2004)	Comedy
A Matter of Hair (2004)	Short
A Matter of Inches (2006)	Fantasy
A Matter of Inches (2006)	Mystery
A Matter of Inches (2006)	Short
A Message from Outer Space (2004)	Fantasy
A Message from Outer Space (2004)	Sci-Fi
A Message from Outer Space (2004)	Short
A Midnight Dreary (2011)	Short
A Midnight Dreary (2011)	Thriller
A Mighty Wind (2003)	Comedy
A Mighty Wind (2003)	Drama
A Mighty Wind (2003)	Music
A Mother's Hand Might (2007)	Fantasy
A Mother's Hand Might (2007)	Horror
A Mother's Hand Might (2007)	Short
A Mulher do Desejo (1975)	Drama
A Mulher do Desejo (1975)	Horror
A Mulher do Desejo (1975)	Mystery
A Mulher do Desejo (1975)	Thriller
A Mutt in a Rut (1949)	Animation
A Mutt in a Rut (1949)	Comedy
A Mutt in a Rut (1949)	Short
A Near Death Experience (2008) (TV)	Drama
A Near Death Experience (2008) (TV)	Horror
A Near Death Experience (2008) (TV)	Mystery
A Near Death Experience (2008) (TV)	Thriller
A Nightmare on Castro Street (2002)	Comedy
A Nightmare on Castro Street (2002)	Horror
