TITLE	KEYWORD	YEAR
Amityville: Dollhouse (1996) (V)	ghost	1996
Amityville: The Evil Escapes (1989) (TV)	demon	1989
Amon: Devilman mokushiroku (2000) (V)	demon	2000
Among Us (2004) (V)	bigfoot	2004
Among Us (2004) (V)	monster	2004
Among Us (2004) (V)	sasquatch	2004
Among the Dead (2008) (V)	zombie	2008
Among the Fallen (2011)	zombie	2011
Amphibious 3D (2010)	monster	2010
An Afghan Night (2008)	alien	2008
An All Dogs Christmas Carol (1998) (V)	ghost	1998
An American Christmas Carol (1979) (TV)	ghost	1979
An American Haunting (2005)	ghost	2005
An American Haunting (2005)	witch	2005
An American Tail: The Mystery of the Night Monster (1999) (V)	monster	1999
An American Vampire Story (1997)	vampire	1997
An American Vampire in America (2006)	vampire	2006
An American Werewolf in London (1981)	monster	1981
An American Werewolf in London (1981)	werewolf	1981
An American Werewolf in London (2014)	werewolf	2014
An American Werewolf in Paris (1997)	ghost	1997
An American Werewolf in Paris (1997)	monster	1997
An American Werewolf in Paris (1997)	werewolf	1997
An American Werewolf in Paris (1997)	zombie	1997
An Erotic Vampire in Paris (2002) (V)	vampire	2002
An Erotic Werewolf in London (2006) (V)	werewolf	2006
An Evening with My Comatose Mother (2011)	ghost	2011
An Imperfect Solution: A Tale of the Re-Animator (2003)	zombie	2003
An Insignificant Harvey (2011)	yeti	2011
An Insomniac's Nightmare (2003)	ghost	2003
An Old Box (1975)	ghost	1975
Anaconda (1997)	anaconda	1997
Anaconda (1997)	giant-snake	1997
Anaconda (1997)	monster	1997
Anaconda (1997)	sea-monster	1997
Anaconda 4: Trail of Blood (2009) (TV)	anaconda	2009
Anaconda III (2008) (TV)	anaconda	2008
Anaconda III (2008) (TV)	giant-snake	2008
Anaconda III (2008) (TV)	monster	2008
Anaconda: Giant Snake of the Amazon (1999) (TV)	anaconda	1999
Anacondas: The Hunt for the Blood Orchid (2004)	anaconda	2004
Anacondas: The Hunt for the Blood Orchid (2004)	giant-snake	2004
Anacondas: The Hunt for the Blood Orchid (2004)	monster	2004
Anak Pontianak (1958)	vampire	1958
Anak ng demonyo (1989)	devil	1989
Anak ni Zuma (1987)	monster	1987
Ancient Alien (1998) (V)	alien	1998
Ancient Evil 2: Guardian of the Underworld (2005) (V)	mummy	2005
Ancient Evil: Scream of the Mummy (1999)	mummy	1999
And You Thought Your Parents Were Weird (1991)	android	1991
